ent_coef,gamma,gae_lambda,n_steps,clip_range,n_epochs,batch_size,total_reward
0.01,0.9,0.95,2048,0.1,10,32,19.30000000000004
0.01,0.9,0.95,2048,0.1,10,64,26.999999999999964
0.01,0.9,0.95,2048,0.2,5,32,19.00000000000002
0.01,0.9,0.95,2048,0.2,5,64,16.699999999999992
0.01,0.9,0.95,2048,0.2,10,32,24.3000000000001
0.01,0.9,0.95,2048,0.2,10,64,24.799999999999933
0.01,0.95,0.9,1024,0.1,5,32,24.00000000000002
0.01,0.95,0.9,1024,0.1,5,64,14.999999999999954
0.01,0.95,0.9,1024,0.1,10,32,23.19999999999994
0.01,0.95,0.9,1024,0.1,10,64,14.699999999999992
0.01,0.95,0.9,1024,0.2,5,32,34.8
0.01,0.95,0.9,1024,0.2,5,64,10.099999999999998
0.01,0.95,0.9,1024,0.2,10,32,28.100000000000012
0.01,0.95,0.9,1024,0.2,10,64,18.599999999999945
0.01,0.95,0.9,2048,0.1,5,32,29.399999999999984
0.01,0.95,0.9,2048,0.1,5,64,34.8
0.01,0.95,0.9,2048,0.1,10,32,34.89999999999999
0.01,0.95,0.9,2048,0.1,10,64,14.899999999999968
0.01,0.95,0.9,2048,0.2,5,32,19.300000000000036
0.01,0.95,0.9,2048,0.2,5,64,26.999999999999964
0.01,0.95,0.9,2048,0.2,10,32,17.10000000000006
0.01,0.95,0.9,2048,0.2,10,64,27.799999999999933
0.01,0.95,0.95,1024,0.1,5,32,25.700000000000056
0.01,0.95,0.95,1024,0.1,5,64,21.30000000000004
0.01,0.95,0.95,1024,0.1,10,32,21.999999999999908
0.01,0.95,0.95,1024,0.1,10,64,31.099999999999966
0.01,0.95,0.95,1024,0.2,5,32,23.100000000000072
0.01,0.95,0.95,1024,0.2,5,64,28.100000000000012
0.01,0.95,0.95,1024,0.2,10,32,8.199999999999985
0.01,0.95,0.95,1024,0.2,10,64,13.099999999999943
0.01,0.95,0.95,2048,0.1,5,32,9.599999999999941
0.01,0.95,0.95,2048,0.1,5,64,20.999999999999964
0.01,0.95,0.95,2048,0.1,10,32,36.70000000000006
0.01,0.95,0.95,2048,0.1,10,64,32.3
0.01,0.95,0.95,2048,0.2,5,32,22.700000000000053
0.01,0.95,0.95,2048,0.2,5,64,22.399999999999977
0.01,0.95,0.95,2048,0.2,10,32,33.10000000000002
0.01,0.95,0.95,2048,0.2,10,64,10.900000000000077
